Organisation name,Organisation Code,Effective Date,Contract Reference number / ID,Open Contracting ID,Title of the Agreement,Contract type,Directorate / service responsible,Service Category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: CPV label,Procurement classification: CPV code,Procurement classification: Proclass label,Procurement classification: Proclass code,Contract start date,End date,Review date,Last extension date,Contract value,Fixed cost / estimated cost,Irrecoverable VAT,Supplier name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME supplier,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL,Tender process type,Tender document URL,Contract document URL,Performance information URL,Location service label,Location served URI
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10578,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,WESTCLIFF LODGE LIMITED,,,210717 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10579,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,PRIME LIFE LIMITED,gb/02779611,,73377 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10582,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,BARCHESTER HEALTHCARE HOMES LIMITED,,,417155 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10583,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,100531 ,Estimated,,ALTOGETHER CARE LLP,,,387041 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10585,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,295325 ,Estimated,,HEALTH CARE HOMES GROUP LIMITED,gb/05029866,,107619 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10587,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,86024 ,Estimated,,MS K A ROGERS T/A WHITEGATES,,,359017 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10588,,Care Home and Care Homes with Nursing for Adults April 2012,,COMMUNITY SERVICES,,,Care Home and Care Homes with Nursing for Adults April 2012,Adult care - nursing & residential,,,,,01-Apr-2012,,,,1161478 ,Estimated,,WHITEHALL CARE LIMITED,,,132142 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10589,,Care Home and Care Homes with Nursing for Adults April 2012,,COMMUNITY SERVICES,,,Care Home and Care Homes with Nursing for Adults April 2012,Adult care - nursing & residential,,,,,01-Apr-2012,,,,649968 ,Estimated,,HOLLY CARE LIMITED,06594242,,197035 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10591,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,SAGE CARE HOMES (WILLOWBANK) LIMITED,04141932,,164833 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10597,,Care Home and Care Homes with Nursing for Adults April 2012,,COMMUNITY SERVICES,,,Care Home and Care Homes with Nursing for Adults April 2012,Adult care - nursing & residential,,,,,01-Apr-2012,,,,4114476 ,Estimated,,GEMINI CARE LIMITED,,,69296 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10598,,Adults - Care Homes and Care Homes with Nursing : 2012 (The Windmill Care Home),,COMMUNITY SERVICES,,,Adults - Care Homes and Care Homes with Nursing : 2012 (The Windmill Care Home),Adult care - nursing & residential,,,,,28-Feb-2012,27/02/2017,,27/02/2017,1488033 ,Estimated,,THE WINDMILL CARE HOME,,,153821 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10600,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,HUNT HEALTHCARE LIMITED,06931577,,335986 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10602,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,ANCHOR TRUST,,,66100 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10604,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,RANC CARE HOMES LIMITED,,,73795 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10609,,Care Home and Care Homes with Nursing for Adults April 2012,,COMMUNITY SERVICES,,,Care Home and Care Homes with Nursing for Adults April 2012,Adult care - nursing & residential,,,,,01-Apr-2012,,,,2000922 ,Estimated,,WOODSTOCK CARE HOME LTD,,,1055765 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10612,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,991891 ,Estimated,,ACCEPTUS HEALTHCARE LTD,,,850769 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10617,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,70665 ,Estimated,,COLLEGE OF ST BARNABAS,,,572465 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10618,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,146191 ,Estimated,,BUPA CARE HOMES (BNH) LIMITED,,,66941 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10624,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,BRAMBLE LODGE CARE HOMES LTD,,,707715 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10627,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,111936 ,Estimated,,MR & MRS A BUTCHERS T/A INWOOD HOUSE,,,586494 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10630,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,AVERY HOMES NORTHAMPTON LIMITED,,,368013 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10634,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,STREETSCENE (STREETSCENE ADDICTION RECOVERY (LTD),,,74988 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10637,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,VALENTINE LODGE CARE HOME,,,678694 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10638,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,333907 ,Estimated,,WELDGLOBE LIMITED,04145315,,598487 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10640,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,JASMINE HEALTH CARE LIMITED,,,597493 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10646,,Care Home and Care Homes with Nursing for Adults April 2012,,COMMUNITY SERVICES,,,Care Home and Care Homes with Nursing for Adults April 2012,Adult care - nursing & residential,,,,,01-Apr-2012,,,,1299178 ,Estimated,,T HANN,,,75167 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10647,,Care Home and Care Homes with Nursing for Adults April 2012,,COMMUNITY SERVICES,,,Care Home and Care Homes with Nursing for Adults April 2012,Adult care - nursing & residential,,,,,01-Apr-2012,,,,2198337 ,Estimated,,AUTISM ANGLIA,gb/03407778,,159584 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10652,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,241004 ,Estimated,,AMBER CARE (EAST ANGLIA) LTD,04841343,,79453 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10664,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,GRANTA HOUSING SOCIETY LIMITED,,,69404 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10685,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,580899 ,Estimated,,AMBER CARE (EAST ANGLIA) LTD,04841343,,79453 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10686,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,KENWARD TRUST,,,84217 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10687,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,60130 ,Estimated,,KENWARD TRUST,,,84217 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10734,,Residential and Nursing Care Alexander Court Glasgow,,COMMUNITY SERVICES,,,Residential and Nursing Care Alexander Court Glasgow,Adult care - nursing & residential,,,,,10-Feb-2012,31/03/2017,,,,,,GLASGOW CITY COUNCIL,,,69346 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10735,,"Residential care for adults at Honeysuckle Cottage, Newhaven, Oak Lodge, Rosedale House and The Wishing Well",,COMMUNITY SERVICES,,,"Residential care for adults at Honeysuckle Cottage, Newhaven, Oak Lodge, Rosedale House and The Wishing Well",Adult care - nursing & residential,,,,,01-Apr-2012,31/03/2020,,,3019538 ,Estimated,,MS JENNIFER JONAS T/A CRYSTAL CARE,,,368004 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10737,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,SANCTUARY CARE LIMITED,gb/04231521,,117182 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10738,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,NEWGRANGE OF CHESHUNT LIMITED,,,652604 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10741,,Out of County residential care for adults at St Augustine's,,COMMUNITY SERVICES,,,Out of County residential care for adults at St Augustine's,Adult care - nursing & residential,,,,,01-Apr-2012,,,,100620 ,Estimated,,HOSPITALLER SISTERS SACRED HEART JESUS,,,69915 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10743,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,STREETSCENE (STREETSCENE ADDICTION RECOVERY (LTD),,,74988 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10745,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,STREETSCENE (STREETSCENE ADDICTION RECOVERY (LTD),,,74988 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10746,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,281424 ,Estimated,,VIRIDIAN HOUSING,,,530474 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10749,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,AVERY HOMES NORTHAMPTON LIMITED,,,368013 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10750,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,121224 ,Estimated,,ST JOHN'S WINCHESTER CHARITY,,,505483 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10751,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,GLENFIELD HEALTH CARE LIMITED,,,186706 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10754,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,13029 ,Estimated,,VALE HOUSE STABILISATION SERVICES,,,101359 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10756,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,147840 ,Estimated,,KATHRYN HOMES,gb/00731250,,86354 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10757,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,79453 ,Estimated,,WOODHAVEN HOMES LIMITED,,,658585 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10758,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,BROMFIELD HOUSE REST HOME LIMITED,04575785,,665674 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10760,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,534391 ,Estimated,,WIDER OPTIONS (3) LIMITED,,,112654 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10762,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,HAVERING CARE HOMES LTD,,,687694 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10765,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,PARTNERSHIPS IN CARE LTD,,,1019770 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10766,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,TOWER BRIDGE HOMES CARE LTD,,,803781 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10767,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,A SHARP,,,765793 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10768,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,PARTNERSHIPS IN CARE LTD,,,1019770 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10769,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,KAPIL CARE HOMES LTD,,,749766 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10772,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,METHODIST HOMES,gb/04043124,,71855 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10774,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,BROOKDALE HEALTH CARE LTD,,,994797 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10777,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,295680 ,Estimated,,CHOSEN CARE LIMITED,gb/04408664,,749764 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN10778,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,HC-ONE LIMITED,,,737844 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN40328,,Adult Residential Care at Plymbridge House,,COMMUNITY SERVICES,,,Adult Residential Care at Plymbridge House,Adult care - nursing & residential,,,,,01-Apr-2012,31/03/2017,,31/03/2017,25056 ,Estimated,,PENINSULAR CARE HOMES LTD CENTRAL ACCOUNT,,,1173779 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN41837,,Care Home and Care Homes with Nursing for Adults April 2012 (Iceni Care Limited re Iceni Lodge),,COMMUNITY SERVICES,,,Care Home and Care Homes with Nursing for Adults April 2012 (Iceni Care Limited re Iceni Lodge),Adult care - nursing & residential,,,,,04-Jun-2013,03/06/2018,,03/06/2018,103070 ,Estimated,,ICENI CARE LIMITED,07587278,,713704 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42005,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,44973 ,Estimated,,KATHRYN HOMES,gb/00731250,,86354 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42027,,Adult residential home - Wellfield,,COMMUNITY SERVICES,,,Adult residential home - Wellfield,Adult care - nursing & residential,,,,,01-Sep-2008,,,,,,,PEARLCARE (WELLFIELD) LTD,,,1105782 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42049B,,Adult residential care - Keys Hill Park Limited,,COMMUNITY SERVICES,,,Adult residential care - Keys Hill Park Limited,Adult care - nursing & residential,,,,,01-Apr-2012,31/03/2020,,,314109 ,Estimated,,KEYS HILL PARK LIMITED,06511690,,165429 ,,,,PART B SERVICES,,,Other,,,,,
