H|vendor_id|ch_num|filing/id|filing/uid|filing/date|filing/title|filing/description|filing/url|filing/filing_type|filing/opencorporates_url|filing/filing_code|dummy_data
D|184141|03584750|312213915|MzE0MDQxMTgzNGFkaXF6a2N4|2016-01-25|Termination of appointment of director |Termination of appointment of Colin Ronald Lukey as a director on 2016-01-04||Termination of appointment of director |https://opencorporates.com/statements/312213915|TM01|x
D|184141|03584750|224708738|MzEyNTY2OTE1MmFkaXF6a2N4|2015-06-23|Annual Return|Annual return made up to 2015-06-19 no member list||Annual Return|https://opencorporates.com/statements/224708738|AR01|x
D|184141|03584750|155776041|MzEyNTY2OTE1MmFkaXF6a2N4|2015-06-23|Annual Return|Annual return made up to 2015-06-19 no member list||Annual Return|https://opencorporates.com/statements/155776041|AR01|x
D|184141|03584750|224708739|MzEyMTc4NjEyMWFkaXF6a2N4|2015-04-26|Annual Accounts|Full accounts made up to 2014-07-31||Annual Accounts|https://opencorporates.com/statements/224708739|AA|x
D|184141|03584750|155776044|MzEyMTc4NjEyMWFkaXF6a2N4|2015-04-26|Annual Accounts|Full accounts made up to 2014-07-31||Annual Accounts|https://opencorporates.com/statements/155776044|AA|x
D|184141|03584750|155776048|MzExMTcyMjg0MmFkaXF6a2N4|2014-11-20|Appointment of director|Appointment of Mrs Natalie Jane Garrard as a director on 2014-10-01||Appointment of director|https://opencorporates.com/statements/155776048|AP01|x
D|184141|03584750|155776046|MzExMTcyNzM2M2FkaXF6a2N4|2014-11-20|Appointment of director|Appointment of Mr Allen Norris as a director on 2014-09-04||Appointment of director|https://opencorporates.com/statements/155776046|AP01|x
D|184141|03584750|224708742|MzExMTcyMjg0MmFkaXF6a2N4|2014-11-20|Appointment of director|Appointment of Mrs Natalie Jane Garrard as a director on 2014-10-01||Appointment of director|https://opencorporates.com/statements/224708742|AP01|x
D|184141|03584750|224708741|MzExMTcyNzM2M2FkaXF6a2N4|2014-11-20|Appointment of director|Appointment of Mr Allen Norris as a director on 2014-09-04||Appointment of director|https://opencorporates.com/statements/224708741|AP01|x
D|184141|03584750|224708743|MzEwMjE4MDc5OGFkaXF6a2N4|2014-06-19|Annual Return|Annual return made up to 2014-06-19 no member list||Annual Return|https://opencorporates.com/statements/224708743|AR01|x
D|184141|03584750|155776049|MzEwMjE4MDc5OGFkaXF6a2N4|2014-06-19|Annual Return|Annual return made up to 2014-06-19 no member list||Annual Return|https://opencorporates.com/statements/155776049|AR01|x
D|184141|03584750|224708745|MzA5ODI1MzY2N2FkaXF6a2N4|2014-04-17|Annual Accounts|Full accounts made up to 2013-07-31||Annual Accounts|https://opencorporates.com/statements/224708745|AA|x
D|184141|03584750|289870968|MzA5ODI1MzY2N2FkaXF6a2N4|2014-04-17|Annual Accounts|Full accounts made up to 2013-07-31||Annual Accounts|https://opencorporates.com/statements/289870968|AA|x
D|184141|03584750|224708748|MzA5NDM5NDc3N2FkaXF6a2N4|2014-02-12|Termination of appointment of director |Termination of appointment of Allen Norris as a director||Termination of appointment of director |https://opencorporates.com/statements/224708748|TM01|x
D|184141|03584750|155776056|MzA5NDM5NDc3N2FkaXF6a2N4|2014-02-12|Termination of appointment of director |Termination of appointment of Allen Norris as a director||Termination of appointment of director |https://opencorporates.com/statements/155776056|TM01|x
