H|vendor_id|Charities Commission Number|Accounts Date|Income|Spending|dummy_data
D,110396,1103896,31 Mar 2009,18366000,14614000,x
D,110396,1103896,31 Mar 2008,15984000,16534000,x
D,110396,1103896,31 Mar 2007,14611000,15120000,x
D,110396,1103896,31 Mar 2006,13443000,14050000,x
D,110396,1103896,31 Mar 2005,12249000,12288000,x
D,1339785,1146924,,,,x
D,1339785,1146924,,,,x
D,1339785,1146924,,,,x
D,1038761,1107432,31 Mar 2015,,,x
D,1038761,1107432,31 Mar 2014,19369000,15984000,x
D,1038761,1107432,31 Mar 2013,19416000,19385000,x
D,1038761,1107432,31 Mar 2012,20995000,20950000,x
D,1038761,1107432,31 Mar 2011,23284000,22895000,x
F,1
