H|vendor_id|supplier_name|supplier_id|addr_line1|addr_line2|addr_line3|addr_post_town|addr_postcode|supplier_legal_form|close_date|open_date|accounts_category|accounts_next_due_date|dummy data
D|149513|06202271|DIG CONTRACTORS LIMITED|18 STAFFORD AVENUE|NORWICH||NORFOLK|NR5 0QF|Private Limited Company|04/04/2007||TOTAL EXEMPTION SMALL|31/01/2017|x
D|1125919|08005306|GOLDHAWK BRIDGE RESTORATION LIMITED|337 BATH ROAD|||SLOUGH|SL1 5PR|Private Limited Company|26/03/2012||TOTAL EXEMPTION SMALL|31/12/2016|x
D|308778|04273754|MORGAN SINDALL CONSTRUCTION & INFRASTRUCTURE LTD|KENT HOUSE|14-17 MARKET PLACE||LONDON|W1W 8AJ|Private Limited Company|20/08/2001||FULL|30/06/2016|x
D|127707|04128259|NEWALL CIVIL ENGINEERING LIMITED|THE BARN HERON FARM|BESTHORPE||ATTLEBOROUGH|NR17 2LN|Private Limited Company|20/12/2000||FULL|31/12/2016|x
D|122431|05851226|PROFESSIONAL CABLING SOLUTIONS LIMITED|77 BAYLIS ROAD|||SLOUGH|SL1 3PH|Private Limited Company|20/06/2006||TOTAL EXEMPTION SMALL|31/03/2017|x
D|1004839|05598006|NEIL WHICKER ELECTRICAL SERVICES LIMITED|23 LONDON ROAD|DOWNHAM MARKET||NORFOLK|PE38 9BJ|Private Limited Company|20/10/2005||TOTAL EXEMPTION SMALL|30/09/2016|x
D|81532|03638958|CARETECH UK LIMITED|1386 LONDON ROAD|||LEIGH ON SEA|SS9 2UJ|Private Limited Company|22/09/1998||TOTAL EXEMPTION SMALL|31/07/2016|x
D|149906|06619263|WATLINGTON DRAIN RENOVATIONS LIMITED|30 ST. JAMES STREET|||KING'S LYNN|PE30 5DA|Private Limited Company|13/06/2008||TOTAL EXEMPTION SMALL|31/12/2016|x
D|558487|07420791|JBF CONSTRUCTION (NORWICH) LIMITED|OAKLANDS|LINGWOOD ROAD, NORTH BURLINGHAM||NORWICH|NR13 4ST|Private Limited Company|27/10/2010||TOTAL EXEMPTION SMALL|26/01/2017|x
D|76128|04203587|WAVENEY GLASS COMPANY LIMITED|NUMBER SIXTY ONE|ALEXANDRA ROAD||LOWESTOFT|NR32 1PL|Private Limited Company|23/04/2001||TOTAL EXEMPTION SMALL|31/03/2017|x
D|1141766|08477820|NPB ASSOCIATES LIMITED|6G KNOWL PIECE|WILBURY WAY||HITCHIN|SG4 0TY|Private Limited Company|08/04/2013||TOTAL EXEMPTION SMALL|31/01/2017|x
D|73092|03319463|PANKS ENGINEERS LTD.|THE OLD TANNERY|8 HEIGHAM STREET||NORWICH|NR2 4TE|Private Limited Company|17/02/1997||SMALL|31/12/2016|x
D|67122|03408288|C.M.S. (ANGLIA) LIMITED|ASPEN 20 ROPES WALK|BLOFIELD||NORWICH|NR13 4JB|Private Limited Company|24/07/1997||TOTAL EXEMPTION SMALL|30/04/2016|x
D|66362|01097851|AYLSHAM PLANT HIRE LIMITED|UNIT A, AYLSHAM INDUSTRIAL|ESTATE, AYLSHAM||NORWICH|NR11 6SS|Private Limited Company|22/02/1973||TOTAL EXEMPTION SMALL|31/12/2016|x
D|66071|02499491|ALPHEUS ENVIRONMENTAL LIMITED|LANCASTER HOUSE LANCASTER WAY|ERMINE BUSINESS PARK||HUNTINGDON|PE29 6XU|Private Limited Company|04/05/1990||FULL|31/12/2016|x
D|66878|01182840|BROADLAND WINDOWS LIMITED|YARE HOUSE|62-64 THORPE ROAD||NORWICH|NR1 1RY|Private Limited Company|03/09/1974||TOTAL EXEMPTION SMALL|30/11/2016|x
D||04795756|NORTHERN TRUST GLOBAL SERVICES LIMITED|50 BANK STREET|LONDON|||E14 5NT|Private Limited Company|11/06/2003||FULL|30/09/2016|x
D|193934|02964439|CA TRAFFIC LIMITED|WESTHAVEN HOUSE, ARLESTON WAY|SHIRLEY||SOLIHULL|B90 4LH|Private Limited Company|02/09/1994||FULL|30/09/2016|x
D|109399|02006000|NATIONAL GRID GAS PLC|1-3 STRAND|LONDON|||WC2N 5EH|Public Limited Company|01/04/1986||GROUP|30/09/2016|x
D|66909|02583752|BROXAP LIMITED|APEDALE WORKS|CHESTERTON||NEWCASTLE UNDER LYME|ST5 6BD|Private Limited Company|19/02/1991||FULL|30/09/2016|x
D|82656|02366703|NORTHUMBRIAN WATER LIMITED|NORTHUMBRIA HOUSE|ABBEY ROAD||PITY ME|DH1 5FJ|Private Limited Company|01/04/1989||FULL|31/12/2016|x
D|122431|05851226|PROFESSIONAL CABLING SOLUTIONS LIMITED|77 BAYLIS ROAD|||SLOUGH|SL1 3PH|Private Limited Company|20/06/2006||TOTAL EXEMPTION SMALL|31/03/2017|x
D|81152|01800000|BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY|81 NEWGATE STREET|LONDON|||EC1A 7AJ|Public Limited Company|01/04/1984||GROUP|30/09/2016|x
D|308778|04273754|MORGAN SINDALL CONSTRUCTION & INFRASTRUCTURE LTD|KENT HOUSE|14-17 MARKET PLACE||LONDON|W1W 8AJ|Private Limited Company|20/08/2001||FULL|30/06/2016|x
D|68373|03284808|DRAYTON WINDOWS LIMITED|9-11 DRAYTON HIGH ROAD|DRAYTON||NORWICH|NR8 6AH|Private Limited Company|27/11/1996||SMALL|30/09/2016|x
D|69119|04104238|G & G FENCING LIMITED|9 LODORE AVENUE|HELLESDON NORWICH||NORFOLK|NR6 6XP|Private Limited Company|08/11/2000||TOTAL EXEMPTION SMALL|30/04/2017|x
D|1226759|01046019|G4S SECURE SOLUTIONS (UK) LIMITED|SUTTON PARK HOUSE|15 CARSHALTON ROAD||SUTTON|SM1 4LD|Private Limited Company|14/03/1972||FULL|30/09/2016|x
D|66158|02540020|ANGLIAN WINDOWS LIMITED|PO BOX 65 ANSON ROAD|NORWICH||NORFOLK|NR6 6EJ|Private Limited Company|17/09/1990||FULL|31/12/2016|x
D|109399|02006000|NATIONAL GRID GAS PLC|1-3 STRAND|LONDON|||WC2N 5EH|Public Limited Company|01/04/1986||GROUP|30/09/2016|x
D|1352870|08677095|J NEWTON GROUNDWORKS LIMITED|13 BERNARD CLOSE|RACKHEATH||NORWICH|NR13 6QS|Private Limited Company|04/09/2013||TOTAL EXEMPTION SMALL|31/12/2016|x
D|72585|02366703|NORTHUMBRIAN WATER LIMITED|NORTHUMBRIA HOUSE|ABBEY ROAD||PITY ME|DH1 5FJ|Private Limited Company|01/04/1989||FULL|31/12/2016|x
D|73491|03822195|QUEENSBURY SHELTERS LIMITED|QUEENSBURY HOUSE|FITZHERBERT ROAD||PORTSMOUTH|PO6 1SE|Private Limited Company|09/08/1999||FULL|30/09/2016|x
D|69432|01013442|GT.YARMOUTH HEATING COMPANY LIMITED|HEWETT ROAD|GAPTON HALL INDUSTRIAL ESTATE||GREAT YARMOUTH|NR31 0NN|Private Limited Company|07/06/1971||TOTAL EXEMPTION SMALL|28/02/2017|x
D|70350|01065872|J.K. BROCK BUILDERS (DEREHAM) LIMITED|1 TAVERN LANE|EAST DEREHAM||NORFOLK|NR19 1PX|Private Limited Company|15/08/1972||TOTAL EXEMPTION SMALL|29/02/2016|x
D||02015142|FIL PENSIONS MANAGEMENT|OAKHILL HOUSE 130 TONBRIDGE ROAD|HILDENBOROUGH||TONBRIDGE|TN11 9DZ|Private Unlimited Company|29/04/1986||FULL||x
D|70872|03811318|KING'S LYNN FLOORING CO. LIMITED|48 KING STREET|KINGS LYNN||NORFOLK|PE30 1HE|Private Limited Company|21/07/1999||TOTAL EXEMPTION SMALL|30/04/2016|x
D|76044|01006277|W S LUSHER & SON LIMITED|SCHOOL LANE|SPROWSTON||NORWICH|NR7 8TH|Private Limited Company|29/03/1971||SMALL|31/01/2016|x
D|425298|06500610|RISE SCAFFOLD SERVICES LIMITED|RISE ACER ROAD|SADDLEBOW||KING'S LYNN|PE34 3HN|Private Limited Company|12/02/2008||TOTAL EXEMPTION SMALL|31/10/2016|x
D|71870|01626551|MICK WARD (HEATING & PLUMBING) LIMITED|PEMBROKE HOUSE|6 WATLINGTON ROAD||RUNCTON HOLME, KINGS LYNN|PE33 0EJ|Private Limited Company|02/04/1982||TOTAL EXEMPTION SMALL|31/10/2016|x
D|66867|04759844|BROADLAND FLOORING LTD|54 THORPE ROAD|NORWICH||NORFOLK|NR1 1RY|Private Limited Company|12/05/2003||TOTAL EXEMPTION SMALL|28/02/2017|x
D|69102|02582463|FRONTIER-PITTS LIMITED|CROMPTON HOUSE|CROMPTON WAY||CRAWLEY|RH10 9QZ|Private Limited Company|14/02/1991||MEDIUM|30/04/2016|x
D|69007|03679979|FOLKES PLANT & AGGREGATES LIMITED|WELCOME PIT|BUTT LANE, BURGH CASTLE||GREAT YARMOUTH|NR31 9PY|Private Limited Company|08/12/1998||SMALL|30/04/2016|x
D|149191|05971330|GREAT YARMOUTH PORT COMPANY LTD|MARITIME CENTRE|PORT OF LIVERPOOL||LIVERPOOL|L21 1LA|Private Limited Company|18/10/2006||FULL|30/09/2016|x
D|152764|06133379|NOVUM STRUCTURES UK LIMITED|8 HOPPER WAY, DISS BUSINESS PARK|DISS||NORFOLK|IP22 4GT|Private Limited Company|01/03/2007||GROUP|30/09/2016|x
D|75144|04812250|T FARROW CONSTRUCTION LIMITED|WELBECK ROAD|BERGH APTON||NORWICH|NR15 1AU|Private Limited Company|26/06/2003||TOTAL EXEMPTION SMALL|30/04/2017|x
D|93030|05092330|D. A. GRIGGS DECORATORS LIMITED|48 KING STREET|||KING'S LYNN|PE30 1HE|Private Limited Company|02/04/2004||TOTAL EXEMPTION SMALL|31/01/2017|x
D|66521|04452788|BANSON DECORATORS LTD|3 THE GREEN|GROVE FARM||SCULTHORPE|NR21 9QJ|Private Limited Company|31/05/2002||TOTAL EXEMPTION SMALL|31/03/2016|x
D|731752|03286406|COMM-TECH VOICE & DATA LIMITED|COMMUNICATIONS CENTRE|33 KING STREET||NORWICH|NR1 1PD|Private Limited Company|02/12/1996||SMALL|31/12/2016|x
D|67797|01344029|CROMER ELECTRICAL LIMITED|22A HOLT ROAD|CROMER||NORFOLK|NR27 9JW|Private Limited Company|14/12/1977||TOTAL EXEMPTION SMALL|31/05/2016|x
D|1352870|08677095|J NEWTON GROUNDWORKS LIMITED|13 BERNARD CLOSE|RACKHEATH||NORWICH|NR13 6QS|Private Limited Company|04/09/2013||TOTAL EXEMPTION SMALL|31/12/2016|x
D|1003784|07790089|FIGIELPAINTING LIMITED|LOTHING HOUSE QUAY VIEW BUSINESS PARK|BARNARDS WAY||LOWESTOFT|NR32 2HD|Private Limited Company|28/09/2011||TOTAL EXEMPTION SMALL|31/12/2016|x
D|65942|01307597|ADCOCK REFRIGERATION AND AIR CONDITIONING LIMITED|THE MALTINGS STATION ROAD|GREAT SHELFORD||CAMBRIDGE|CB22 5LR|Private Limited Company|07/04/1977||FULL|31/10/2016|x
D|1070805|03572340|GREEN COMPLIANCE WATER DIVISION LIMITED|47 RIVERSIDE|MEDWAY CITY ESTATE||ROCHESTER|ME2 4DP|Private Limited Company|29/05/1998||FULL|31/05/2016|x
D||01006112|LEGAL AND GENERAL ASSURANCE (PENSIONS MANAGEMENT) LIMITED||ONE COLEMAN STREET||LONDON|EC2R 5AA|Private Limited Company|26/03/1971||FULL|30/09/2016|x
D|70872|03811318|KING'S LYNN FLOORING CO. LIMITED|48 KING STREET|KINGS LYNN||NORFOLK|PE30 1HE|Private Limited Company|21/07/1999||TOTAL EXEMPTION SMALL|30/04/2016|x
D|68368|01323284|DRAPER & NICHOLS LIMITED|7 GUNTON LANE|NEW COSTESSEY||NORWICH|NR5 0AD|Private Limited Company|28/07/1977||FULL|30/06/2016|x
D|65831|01161045|ADT FIRE AND SECURITY PLC|SECURITY HOUSE  THE SUMMIT|HANWORTH ROAD||SUNBURY ON THAMES|TW16 5DB|Public Limited Company|22/02/1974||FULL|31/03/2016|x
D|68852|01270426|F.W. HENDRY (KING'S LYNN) LIMITED|22-26 KING STREET|||KING'S LYNN|PE30 1HJ|Private Limited Company|26/07/1976||TOTAL EXEMPTION SMALL|30/06/2016|x
D|1223836|01490333|IMTECH TRAFFIC & INFRA UK LIMITED|HAZELWOOD HOUSE LIME TREE WAY|CHINEHAM BUSINESS PARK||BASINGSTOKE|RG24 8WZ|Private Limited Company|11/04/1980||FULL|30/09/2016|x
D||01151805|AVIVA INVESTORS GLOBAL SERVICES LIMITED|NO 1 POULTRY|LONDON|||EC2R 8EJ|Private Limited Company|17/12/1973||FULL|30/09/2016|x
D|1953865|05657099|PEGGS CONSTRUCTION LIMITED|THE PRIORY HIGH ROAD|GOREFIELD||WISBECH|PE13 4PJ|Private Limited Company|19/12/2005||TOTAL EXEMPTION SMALL|30/06/2017|x
D|Redacted|01800000|BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY|81 NEWGATE STREET|LONDON|||EC1A 7AJ|Public Limited Company|01/04/1984||GROUP|30/09/2016|x
D|1070805|03572340|GREEN COMPLIANCE WATER DIVISION LIMITED|47 RIVERSIDE|MEDWAY CITY ESTATE||ROCHESTER|ME2 4DP|Private Limited Company|29/05/1998||FULL|31/05/2016|x
D|1178828|08610884|EMJAY PLUMBING & HEATING LIMITED|10 UPLANDS AVENUE|CAISTER ON SEA||GREAT YARMOUTH|NR30 5JU|Private Limited Company|16/07/2013||TOTAL EXEMPTION SMALL|30/04/2017|x
D|93476|00714208|WILLIAM MORFOOT LIMITED|THE AIRFIELD|SHIPDHAM||THETFORD|IP25 7SD|Private Limited Company|01/02/1962||TOTAL EXEMPTION SMALL|31/10/2016|x
D|71699|03683322|MANNPOWER ELECTRICAL SERVICES LIMITED|9 LEYLAND CLOSE|FISON WAY INDUSTRIAL ESTATE||THETFORD|IP24 1XA|Private Limited Company|15/12/1998||TOTAL EXEMPTION SMALL|31/01/2017|x
D|75162|04471269|T GROOME PLANT HIRE LIMITED|THE WHITE HOUSE|BECCLES ROAD, BRADWELL||GREAT YARMOUTH|NR31 9DT|Private Limited Company|27/06/2002||TOTAL EXEMPTION FULL|31/03/2016|x
D|66743|00104680|BOWERS & BARR,LIMITED|30A HALL PLAIN|GREAT YARMOUTH|||NR30 2QD|Private Limited Company|23/08/1909||TOTAL EXEMPTION SMALL|31/08/2016|x
D|66161|02398030|ANGLO SCOTTISH EQUIPMENT (SOUTHERN) LTD.|THE ACCOMODATION CENTRE|HOLT ROAD||FAKENHAM|NR21 8JH|Private Limited Company|23/06/1989||TOTAL EXEMPTION SMALL|30/06/2016|x
D|438268|06270290|D STEWARD UTILITIES LIMITED|15 PALACE STREET|NORWICH||NORFOLK|NR3 1RT|Private Limited Company|06/06/2007|05/03/2013|TOTAL EXEMPTION SMALL||x
D|73585|00270273|R.G. CARTER LIMITED|9 DRAYTON HIGH ROAD|DRAYTON||NORWICH|NR8 6AH|Private Limited Company|16/11/1932||FULL|30/09/2016|x
D||04283513|WELLINGTON MANAGEMENT INTERNATIONAL LIMITED|CARDINAL PLACE|80 VICTORIA STREET||LONDON|SW1E 5JL|Private Limited Company|07/09/2001||FULL|30/09/2016|x
D|66878|01182840|BROADLAND WINDOWS LIMITED|YARE HOUSE|62-64 THORPE ROAD||NORWICH|NR1 1RY|Private Limited Company|03/09/1974||TOTAL EXEMPTION SMALL|30/11/2016|x
D|235186|06308763|ROADART LTD|49 CASTLE RISING ROAD|SOUTH WOOTTON||KING'S LYNN|PE30 3JA|Private Limited Company|10/07/2007||TOTAL EXEMPTION SMALL|30/06/2016|x
D|68951|04519551|FINE LINE COMMUNICATIONS (E.A.) LTD.|GLOBAL HOUSE HARFREYS ROAD|HARFREYS IND. ESTATE||GREAT YARMOUTH|NR31 0LS|Private Limited Company|27/08/2002||TOTAL EXEMPTION SMALL|28/02/2017|x
D|185154|05754431|HICKS FLOORING LIMITED|UNIT 10 HAVERSCROFT INDUSTRIAL ESTATE|NEW ROAD||ATTLEBOROUGH|NR17 1YE|Private Limited Company|23/03/2006||TOTAL EXEMPTION SMALL|31/12/2016|x
D|731752|03286406|COMM-TECH VOICE & DATA LIMITED|COMMUNICATIONS CENTRE|33 KING STREET||NORWICH|NR1 1PD|Private Limited Company|02/12/1996||SMALL|31/12/2016|x
D||02015142|FIL PENSIONS MANAGEMENT|OAKHILL HOUSE 130 TONBRIDGE ROAD|HILDENBOROUGH||TONBRIDGE|TN11 9DZ|Private Unlimited Company|29/04/1986||FULL||x
D|66658|02079553|BINDER LIMITED|PROGRESS WORKS OLD IPSWICH ROAD|CLAYDON||IPSWICH|IP6 0AG|Private Limited Company|02/12/1986||SMALL|31/01/2016|x
D|68487|01176115|E.N.SUITER & SONS LIMITED|LINCOLN COURT BRYGGEN ROAD|NORTH LYNN INDUSTRIAL ESTATE||KING'S LYNN|PE30 2HZ|Private Limited Company|03/07/1974||TOTAL EXEMPTION SMALL|28/02/2017|x
D|411135|06632647|ARH GROUNDWORKS LIMITED|HOME FARM UPGATE ROAD|SEETHING||NORWICH|NR15 1EL|Private Limited Company|27/06/2008||TOTAL EXEMPTION SMALL|31/03/2016|x
D|1223836|01490333|IMTECH TRAFFIC & INFRA UK LIMITED|HAZELWOOD HOUSE LIME TREE WAY|CHINEHAM BUSINESS PARK||BASINGSTOKE|RG24 8WZ|Private Limited Company|11/04/1980||FULL|30/09/2016|x
D|1196766|07421367|GROVE PLANT & TOOL HIRE LIMITED|GROVE BARN WACTON ROAD|FORNCETT ST. PETER||NORWICH|NR16 1JD|Private Limited Company|27/10/2010||TOTAL EXEMPTION SMALL|31/12/2016|x
D|75121|04174504|T C GARRETT ROOFING LIMITED|HIGH VIEW CANTLEY LANE|CRINGLEFORD||NORWICH|NR4 6TF|Private Limited Company|07/03/2001||TOTAL EXEMPTION SMALL|30/04/2016|x
D|65614|03540263|A.C. EMMERSON LIMITED|NIRVANA FAKENHAM ROAD|MORTON ON THE HILL||NORWICH|NR9 5SP|Private Limited Company|03/04/1998||TOTAL EXEMPTION SMALL|31/01/2017|x
D|66335|02501503|AUTOMATED GARAGE DOORS AND GATES LIMITED|BURNET ROAD|SWEET BRIAR IND EST||NORWICH|NR3 2BS|Private Limited Company|11/05/1990||TOTAL EXEMPTION SMALL|31/03/2017|x
D|80532|00245717|AGGREGATE INDUSTRIES UK LIMITED|BARDON HALL|COPT OAK ROAD||MARKFIELD|LE67 9PJ|Private Limited Company|12/02/1930||FULL|30/09/2016|x
D|69102|02582463|FRONTIER-PITTS LIMITED|CROMPTON HOUSE|CROMPTON WAY||CRAWLEY|RH10 9QZ|Private Limited Company|14/02/1991||MEDIUM|30/04/2016|x
D|69119|04104238|G & G FENCING LIMITED|9 LODORE AVENUE|HELLESDON NORWICH||NORFOLK|NR6 6XP|Private Limited Company|08/11/2000||TOTAL EXEMPTION SMALL|30/04/2017|x
D|1192848|02403551|NOVUS PROPERTY SOLUTIONS LIMITED|PO BOX 13, 55 DUKE STREET|FENTON||STOKE-ON-TRENT|ST4 3NN|Private Limited Company|12/07/1989||FULL|30/09/2016|x
D|69219|04738745|G SIDES ELECTRICAL LIMITED|36-8 KING STREET|KINGS LYNN||NORFOLK|PE30 1ES|Private Limited Company|17/04/2003||TOTAL EXEMPTION SMALL|31/12/2016|x
D|67308|04557728|CARL BIRD LIMITED|23 GRAMMAR SCHOOL ROAD|NORTH WALSHAM||NORFOLK|NR28 9JH|Private Limited Company|09/10/2002||TOTAL EXEMPTION SMALL|31/12/2016|x
D|125979|03726880|ANGLIAN INSULATIONS LIMITED|BANKSIDE 300 PEACHMAN WAY|BROADLAND BUSINESS PARK||NORWICH|NR7 0LB|Private Limited Company|04/03/1999||TOTAL EXEMPTION SMALL|30/06/2016|x
D|420270|03870728|UK POWER NETWORKS (OPERATIONS) LIMITED|NEWINGTON HOUSE|237 SOUTHWARK BRIDGE ROAD||LONDON|SE1 6NP|Private Limited Company|03/11/1999||FULL|31/12/2016|x
D|80613|02985657|ANDREWS SYKES HIRE LIMITED|ST DAVID'S COURT|UNION STREET||WOLVERHAMPTON|WV1 3JE|Private Limited Company|01/11/1994||FULL|30/09/2016|x
D|68852|01270426|F.W. HENDRY (KING'S LYNN) LIMITED|22-26 KING STREET|||KING'S LYNN|PE30 1HJ|Private Limited Company|26/07/1976||TOTAL EXEMPTION SMALL|30/06/2016|x
